message,label
The Android app keeps crashing on startup,mobile
Our homepage takes too long to load,web
The login button on the iOS app doesn’t respond,mobile
Please update the site’s privacy policy page,web
Push notifications aren’t being delivered to users,mobile
Add a dark mode feature to the mobile app,web
The navigation bar on our website is broken,mobile
Can you fix the Play Store listing for our app?,web
The contact form on the site doesn’t send emails,mobile
We need a new layout for the dashboard page,web
The app isn’t syncing with the server properly,mobile
Add Apple Pay integration to our iPhone app,web
Update the homepage banner design,mobile
Users are reporting broken links on the website,web
The app should support biometric login,mobile
There’s a bug when uploading files from the app,web
Please optimize the site for mobile browsers,mobile
The web version isn’t displaying correctly in Safari,web
App crashes when switching between tabs,mobile
Website layout breaks on smaller screens,web
Add push notifications for new messages in the app,mobile
Add Google Analytics tracking to the site,web
Can we add a testimonials section to the website?,mobile
The Android app fails to send OTP codes,web
Update favicon and metadata for SEO,mobile
App users can’t reset their passwords,web
The checkout form on the site doesn’t validate emails,mobile
The app freezes when users try to upload photos,web
Please add SSL certification to the website,mobile
App needs better offline support,web
Website footer links are misaligned,mobile
The iOS app doesn’t show notifications,web
Redesign the product page layout,mobile
The app should automatically log out inactive users,web
Add multilingual support to our website,mobile
Improve app performance on low-end devices,web
Add a live chat widget to the website,mobile
App icon looks pixelated on Android 13,web
The website is not rendering properly on Edge browser,mobile
The app’s splash screen takes too long to load,web
Fix the site’s navigation bar hover color,mobile
The app needs to support landscape mode,web
Website search feature doesn’t return results,mobile
App store screenshots need to be updated,web
Update site to use responsive CSS,mobile
App UI should follow the latest Material Design guidelines,web
Optimize image loading speed on the homepage,mobile
Users can’t register via Facebook login on the app,web
Add sitemap for better SEO indexing,mobile
The app should allow users to save drafts,web
Fix broken image links on the website,mobile
Improve the app onboarding experience,web
Update website fonts to match brand guidelines,mobile
The mobile app’s payment gateway is failing,web
Our site’s SSL certificate expired,mobile
The app doesn’t display correctly on tablets,web
Contact page form not sending messages,mobile
The Android app crashes during payment,web
Add hover animations to the homepage buttons,mobile
Implement two-factor authentication in the app,web
Website header overlaps the menu on scroll,mobile
App logs users out unexpectedly,web
The site isn’t mobile-friendly on Safari,mobile
App users can’t update their profile pictures,web
Add blog section to the company website,mobile
Fix app version number on the About screen,web
Homepage carousel not loading images,mobile
The app download link doesn’t work,web
Add Google Maps integration to contact page,mobile
App doesn’t support dark mode yet,web
The website footer looks misaligned,mobile
App users report lag on Android devices,web
Update About Us content on the website,mobile
Add vibration feedback on button clicks in the app,web
Improve loading time of the site’s gallery page,mobile
App notifications show wrong timestamps,web
Add testimonials slider to homepage,mobile
The iOS app freezes after login,web
Optimize website for Core Web Vitals,mobile
The Android app uses too much battery,web
Update meta tags and keywords on the site,mobile
App icon doesn’t appear after installation,web
Fix broken CSS styles on website,mobile
App store link redirects incorrectly,web
Improve image compression on the website,mobile
App users report login timeout errors,web
Our website doesn’t load properly on mobile browsers,mobile
App crashes on Android 14 beta,web
Website background color needs adjusting,mobile
App notifications don’t open correct screens,web
Update web page headings for accessibility,mobile
The mobile app uses too much data,web
Add lazy loading for site images,mobile
App users can’t submit feedback,web
Our website’s banner overlaps the text,mobile
Fix in-app purchase verification issue,web
The website’s contact form needs CAPTCHA,mobile
App audio doesn’t pause during phone calls,web
Website CSS grid is misaligned on Chrome,mobile
The app’s theme color doesn’t match our brand,web
Redesign the website footer layout,mobile
App crashes when downloading PDFs,web
Website images take too long to render,mobile
App UI scaling issue on foldable phones,web
Fix 404 errors on the blog pages,mobile
The app’s splash screen doesn’t appear on startup,web
Improve web page loading speed,mobile
App crashes when uploading multiple images,web
Update copyright text in website footer,mobile
App’s dark theme not applying correctly,web
The contact form redirects to a broken link,mobile
The iOS app doesn’t recognize Face ID,web
Fix site title appearing incorrectly in browser tab,mobile
App push notifications not arriving on iPhones,web
Website links aren’t clickable in footer,mobile
App download button missing on landing screen,web
Homepage text overlaps with banner image,mobile
App can’t connect to the API,web
Add privacy policy page to the website,mobile
App performance degrades after update,web
Add testimonials and portfolio pages,mobile
